production_id,production_date,product_type,production_line,shift,operator_id,machine_id,material_batch,quantity_produced,quantity_defective,defect_type,defect_rate,inspection_result,defect_cost,day_of_week,month,week_number
1,2024-01-02,Product_D,Line_3,Morning,OP013,M002,BATCH018,290,11,Surface_Finish,3.79,Pass,5500,Tuesday,January,1
2,2024-01-02,Product_B,Line_1,Morning,OP014,M007,BATCH020,177,6,Dimension_Error,3.39,Pass,3000,Tuesday,January,1
3,2024-01-03,Product_C,Line_2,Afternoon,OP010,M008,BATCH001,136,4,Scratch,2.94,Pass,2000,Wednesday,January,1
4,2024-01-03,Product_A,Line_2,Night,OP018,M005,BATCH050,222,6,Scratch,2.7,Pass,3000,Wednesday,January,1
5,2024-01-03,Product_A,Line_2,Afternoon,OP017,M008,BATCH044,276,11,Dimension_Error,3.99,Pass,5500,Wednesday,January,1
6,2024-01-04,Product_B,Line_2,Afternoon,OP007,M003,BATCH023,218,2,Dent,0.92,Pass,1000,Thursday,January,1
7,2024-01-04,Product_A,Line_3,Night,OP003,M008,BATCH030,229,12,Dent,5.24,Fail,6000,Thursday,January,1
8,2024-01-04,Product_A,Line_3,Morning,OP011,M001,BATCH043,247,7,Dent,2.83,Pass,3500,Thursday,January,1
9,2024-01-04,Product_B,Line_3,Night,OP015,M005,BATCH037,142,4,Crack,2.82,Pass,2000,Thursday,January,1
10,2024-01-05,Product_A,Line_2,Afternoon,OP008,M008,BATCH043,186,6,Surface_Finish,3.23,Pass,3000,Friday,January,1
11,2024-01-05,Product_B,Line_3,Afternoon,OP012,M004,BATCH029,180,5,Surface_Finish,2.78,Pass,2500,Friday,January,1
12,2024-01-05,Product_A,Line_1,Morning,OP002,M003,BATCH005,228,6,Crack,2.63,Pass,3000,Friday,January,1
13,2024-01-06,Product_D,Line_1,Afternoon,OP013,M001,BATCH022,229,4,Dimension_Error,1.75,Pass,2000,Saturday,January,1
14,2024-01-06,Product_A,Line_3,Morning,OP006,M004,BATCH016,231,5,Dent,2.16,Pass,2500,Saturday,January,1
15,2024-01-06,Product_B,Line_2,Morning,OP001,M002,BATCH032,202,4,Dimension_Error,1.98,Pass,2000,Saturday,January,1
16,2024-01-07,Product_C,Line_2,Afternoon,OP015,M004,BATCH039,250,4,Crack,1.6,Pass,2000,Sunday,January,1
17,2024-01-07,Product_D,Line_1,Morning,OP004,M007,BATCH043,179,5,Dimension_Error,2.79,Pass,2500,Sunday,January,1
18,2024-01-07,Product_C,Line_3,Afternoon,OP003,M006,BATCH025,121,2,Scratch,1.65,Pass,1000,Sunday,January,1
19,2024-01-07,Product_A,Line_1,Afternoon,OP004,M007,BATCH029,256,9,Dent,3.52,Pass,4500,Sunday,January,1
20,2024-01-08,Product_D,Line_3,Morning,OP019,M002,BATCH023,290,10,Surface_Finish,3.45,Pass,5000,Monday,January,2
21,2024-01-09,Product_C,Line_3,Morning,OP018,M003,BATCH033,180,7,Scratch,3.89,Pass,3500,Tuesday,January,2
22,2024-01-09,Product_B,Line_1,Night,OP006,M009,BATCH010,181,9,Dimension_Error,4.97,Pass,4500,Tuesday,January,2
23,2024-01-10,Product_A,Line_2,Morning,OP019,M001,BATCH006,169,3,Surface_Finish,1.78,Pass,1500,Wednesday,January,2
24,2024-01-10,Product_A,Line_1,Night,OP013,M001,BATCH045,287,8,Dent,2.79,Pass,4000,Wednesday,January,2
25,2024-01-11,Product_A,Line_3,Afternoon,OP015,M008,BATCH007,118,4,Surface_Finish,3.39,Pass,2000,Thursday,January,2
26,2024-01-11,Product_A,Line_2,Night,OP017,M008,BATCH035,173,7,Dimension_Error,4.05,Pass,3500,Thursday,January,2
27,2024-01-11,Product_A,Line_1,Night,OP004,M001,BATCH047,214,12,Scratch,5.61,Fail,6000,Thursday,January,2
28,2024-01-11,Product_D,Line_2,Afternoon,OP016,M008,BATCH013,225,10,Dent,4.44,Pass,5000,Thursday,January,2
29,2024-01-12,Product_B,Line_2,Morning,OP018,M002,BATCH039,135,1,Surface_Finish,0.74,Pass,500,Friday,January,2
30,2024-01-13,Product_D,Line_2,Morning,OP018,M007,BATCH014,198,8,Dimension_Error,4.04,Pass,4000,Saturday,January,2
31,2024-01-13,Product_D,Line_1,Night,OP017,M002,BATCH006,288,17,Scratch,5.9,Fail,8500,Saturday,January,2
32,2024-01-14,Product_D,Line_2,Afternoon,OP005,M009,BATCH043,284,9,Dent,3.17,Pass,4500,Sunday,January,2
33,2024-01-14,Product_B,Line_1,Night,OP019,M002,BATCH013,143,5,Dent,3.5,Pass,2500,Sunday,January,2
34,2024-01-14,Product_A,Line_3,Morning,OP017,M003,BATCH015,164,3,Dimension_Error,1.83,Pass,1500,Sunday,January,2
35,2024-01-14,Product_B,Line_3,Afternoon,OP014,M006,BATCH029,280,9,Scratch,3.21,Pass,4500,Sunday,January,2
36,2024-01-14,Product_B,Line_3,Morning,OP009,M008,BATCH006,224,8,Dimension_Error,3.57,Pass,4000,Sunday,January,2
37,2024-01-14,Product_D,Line_3,Night,OP013,M009,BATCH013,239,13,Dimension_Error,5.44,Fail,6500,Sunday,January,2
38,2024-01-15,Product_A,Line_1,Afternoon,OP016,M003,BATCH006,220,8,Scratch,3.64,Pass,4000,Monday,January,3
39,2024-01-15,Product_A,Line_2,Afternoon,OP005,M001,BATCH040,150,2,Crack,1.33,Pass,1000,Monday,January,3
40,2024-01-15,Product_A,Line_2,Night,OP007,M009,BATCH001,146,5,Dent,3.42,Pass,2500,Monday,January,3
41,2024-01-15,Product_D,Line_1,Morning,OP015,M006,BATCH046,178,3,Scratch,1.69,Pass,1500,Monday,January,3
42,2024-01-16,Product_D,Line_3,Afternoon,OP003,M008,BATCH006,283,17,Dent,6.01,Fail,8500,Tuesday,January,3
43,2024-01-16,Product_C,Line_1,Afternoon,OP003,M008,BATCH023,265,4,Crack,1.51,Pass,2000,Tuesday,January,3
44,2024-01-16,Product_A,Line_3,Morning,OP013,M002,BATCH022,187,9,Dimension_Error,4.81,Pass,4500,Tuesday,January,3
45,2024-01-16,Product_D,Line_3,Morning,OP012,M002,BATCH020,190,5,Dent,2.63,Pass,2500,Tuesday,January,3
46,2024-01-17,Product_A,Line_1,Afternoon,OP001,M003,BATCH017,212,3,Surface_Finish,1.42,Pass,1500,Wednesday,January,3
47,2024-01-18,Product_D,Line_2,Morning,OP002,M003,BATCH002,178,5,Dent,2.81,Pass,2500,Thursday,January,3
48,2024-01-18,Product_D,Line_1,Morning,OP017,M004,BATCH045,224,7,Scratch,3.12,Pass,3500,Thursday,January,3
49,2024-01-19,Product_D,Line_3,Morning,OP003,M003,BATCH015,165,8,Scratch,4.85,Pass,4000,Friday,January,3
50,2024-01-19,Product_D,Line_3,Morning,OP009,M007,BATCH013,168,4,Dimension_Error,2.38,Pass,2000,Friday,January,3
51,2024-01-19,Product_C,Line_2,Afternoon,OP017,M006,BATCH026,282,7,Scratch,2.48,Pass,3500,Friday,January,3
52,2024-01-20,Product_D,Line_3,Night,OP008,M001,BATCH041,123,6,Dimension_Error,4.88,Pass,3000,Saturday,January,3
53,2024-01-20,Product_D,Line_3,Morning,OP015,M002,BATCH030,116,6,Scratch,5.17,Fail,3000,Saturday,January,3
54,2024-01-20,Product_A,Line_1,Afternoon,OP017,M003,BATCH006,244,4,Dimension_Error,1.64,Pass,2000,Saturday,January,3
55,2024-01-20,Product_B,Line_2,Morning,OP002,M005,BATCH017,221,5,Surface_Finish,2.26,Pass,2500,Saturday,January,3
56,2024-01-20,Product_A,Line_2,Afternoon,OP009,M002,BATCH033,132,3,Dent,2.27,Pass,1500,Saturday,January,3
57,2024-01-22,Product_A,Line_2,Afternoon,OP018,M007,BATCH032,289,16,Dent,5.54,Fail,8000,Monday,January,4
58,2024-01-22,Product_B,Line_3,Afternoon,OP005,M003,BATCH037,204,10,Dent,4.9,Pass,5000,Monday,January,4
59,2024-01-22,Product_B,Line_2,Night,OP015,M003,BATCH036,127,5,Dimension_Error,3.94,Pass,2500,Monday,January,4
60,2024-01-23,Product_B,Line_1,Morning,OP005,M006,BATCH001,224,6,Dimension_Error,2.68,Pass,3000,Tuesday,January,4
61,2024-01-23,Product_B,Line_3,Morning,OP017,M001,BATCH011,168,3,Scratch,1.79,Pass,1500,Tuesday,January,4
62,2024-01-24,Product_A,Line_1,Morning,OP008,M002,BATCH020,161,2,Dimension_Error,1.24,Pass,1000,Wednesday,January,4
63,2024-01-25,Product_D,Line_2,Afternoon,OP009,M004,BATCH042,200,4,Dimension_Error,2.0,Pass,2000,Thursday,January,4
64,2024-01-26,Product_D,Line_1,Morning,OP002,M005,BATCH045,177,3,Surface_Finish,1.69,Pass,1500,Friday,January,4
65,2024-01-27,Product_B,Line_1,Morning,OP014,M005,BATCH024,244,3,Dimension_Error,1.23,Pass,1500,Saturday,January,4
66,2024-01-27,Product_D,Line_1,Afternoon,OP005,M003,BATCH021,213,7,Dent,3.29,Pass,3500,Saturday,January,4
67,2024-01-27,Product_C,Line_2,Afternoon,OP020,M004,BATCH041,115,2,Crack,1.74,Pass,1000,Saturday,January,4
68,2024-01-27,Product_D,Line_1,Afternoon,OP002,M008,BATCH028,141,6,Crack,4.26,Pass,3000,Saturday,January,4
69,2024-01-28,Product_B,Line_1,Afternoon,OP013,M008,BATCH009,248,10,Crack,4.03,Pass,5000,Sunday,January,4
70,2024-01-29,Product_D,Line_1,Night,OP020,M002,BATCH007,144,7,Surface_Finish,4.86,Pass,3500,Monday,January,5
71,2024-01-30,Product_C,Line_2,Night,OP009,M003,BATCH005,141,3,Dimension_Error,2.13,Pass,1500,Tuesday,January,5
72,2024-01-30,Product_D,Line_2,Night,OP015,M001,BATCH031,224,9,Dent,4.02,Pass,4500,Tuesday,January,5
73,2024-01-30,Product_B,Line_1,Afternoon,OP015,M004,BATCH013,109,2,Dent,1.83,Pass,1000,Tuesday,January,5
74,2024-01-31,Product_C,Line_3,Morning,OP006,M001,BATCH014,260,5,Dent,1.92,Pass,2500,Wednesday,January,5
75,2024-01-31,Product_B,Line_2,Afternoon,OP014,M009,BATCH044,119,4,Surface_Finish,3.36,Pass,2000,Wednesday,January,5
76,2024-02-01,Product_A,Line_2,Morning,OP013,M007,BATCH013,234,10,Dimension_Error,4.27,Pass,5000,Thursday,February,5
77,2024-02-01,Product_D,Line_2,Night,OP020,M007,BATCH006,188,11,Dimension_Error,5.85,Fail,5500,Thursday,February,5
78,2024-02-01,Product_D,Line_3,Morning,OP011,M002,BATCH049,253,13,Crack,5.14,Fail,6500,Thursday,February,5
79,2024-02-01,Product_D,Line_3,Afternoon,OP013,M007,BATCH026,244,15,Dent,6.15,Fail,7500,Thursday,February,5
80,2024-02-01,Product_C,Line_2,Morning,OP008,M003,BATCH039,164,3,Scratch,1.83,Pass,1500,Thursday,February,5
81,2024-02-01,Product_D,Line_2,Morning,OP004,M007,BATCH043,230,4,Dimension_Error,1.74,Pass,2000,Thursday,February,5
82,2024-02-02,Product_D,Line_1,Morning,OP011,M002,BATCH032,292,5,Dimension_Error,1.71,Pass,2500,Friday,February,5
83,2024-02-02,Product_D,Line_1,Morning,OP009,M005,BATCH019,161,2,Dimension_Error,1.24,Pass,1000,Friday,February,5
84,2024-02-02,Product_D,Line_1,Afternoon,OP017,M005,BATCH016,129,2,Surface_Finish,1.55,Pass,1000,Friday,February,5
85,2024-02-03,Product_A,Line_2,Night,OP012,M004,BATCH021,282,14,Crack,4.96,Pass,7000,Saturday,February,5
86,2024-02-03,Product_A,Line_3,Morning,OP003,M006,BATCH030,219,9,Surface_Finish,4.11,Pass,4500,Saturday,February,5
87,2024-02-03,Product_B,Line_2,Night,OP003,M005,BATCH024,154,8,Scratch,5.19,Fail,4000,Saturday,February,5
88,2024-02-03,Product_A,Line_1,Night,OP016,M009,BATCH022,264,9,Dent,3.41,Pass,4500,Saturday,February,5
89,2024-02-04,Product_C,Line_1,Night,OP004,M001,BATCH029,139,6,Dent,4.32,Pass,3000,Sunday,February,5
90,2024-02-05,Product_C,Line_2,Night,OP004,M002,BATCH005,171,8,Dent,4.68,Pass,4000,Monday,February,6
91,2024-02-05,Product_C,Line_2,Night,OP004,M002,BATCH006,141,7,Dent,4.96,Pass,3500,Monday,February,6
92,2024-02-05,Product_D,Line_2,Afternoon,OP015,M005,BATCH047,291,7,Dimension_Error,2.41,Pass,3500,Monday,February,6
93,2024-02-06,Product_D,Line_2,Afternoon,OP016,M007,BATCH045,170,7,Dent,4.12,Pass,3500,Tuesday,February,6
94,2024-02-07,Product_D,Line_3,Morning,OP005,M003,BATCH040,141,6,Dent,4.26,Pass,3000,Wednesday,February,6
95,2024-02-07,Product_D,Line_3,Afternoon,OP017,M009,BATCH043,210,11,Crack,5.24,Fail,5500,Wednesday,February,6
96,2024-02-07,Product_A,Line_2,Afternoon,OP012,M001,BATCH035,174,2,Surface_Finish,1.15,Pass,1000,Wednesday,February,6
97,2024-02-07,Product_C,Line_3,Afternoon,OP007,M001,BATCH028,254,4,Dent,1.57,Pass,2000,Wednesday,February,6
98,2024-02-08,Product_D,Line_2,Night,OP011,M002,BATCH017,171,9,Surface_Finish,5.26,Fail,4500,Thursday,February,6
99,2024-02-08,Product_D,Line_3,Afternoon,OP015,M001,BATCH006,189,10,Crack,5.29,Fail,5000,Thursday,February,6
100,2024-02-08,Product_A,Line_1,Afternoon,OP006,M001,BATCH019,278,6,Dimension_Error,2.16,Pass,3000,Thursday,February,6
101,2024-02-09,Product_B,Line_1,Night,OP013,M007,BATCH001,199,11,Scratch,5.53,Fail,5500,Friday,February,6
102,2024-02-09,Product_C,Line_2,Afternoon,OP010,M008,BATCH025,231,8,Dimension_Error,3.46,Pass,4000,Friday,February,6
103,2024-02-09,Product_C,Line_1,Afternoon,OP018,M002,BATCH049,198,2,Dent,1.01,Pass,1000,Friday,February,6
104,2024-02-09,Product_D,Line_3,Morning,OP014,M008,BATCH035,285,13,Dent,4.56,Pass,6500,Friday,February,6
105,2024-02-09,Product_B,Line_1,Afternoon,OP015,M001,BATCH021,195,3,Dimension_Error,1.54,Pass,1500,Friday,February,6
106,2024-02-10,Product_C,Line_1,Night,OP003,M005,BATCH007,214,7,Surface_Finish,3.27,Pass,3500,Saturday,February,6
107,2024-02-10,Product_D,Line_2,Morning,OP008,M004,BATCH045,174,2,Dimension_Error,1.15,Pass,1000,Saturday,February,6
108,2024-02-10,Product_A,Line_3,Afternoon,OP012,M006,BATCH022,299,5,Surface_Finish,1.67,Pass,2500,Saturday,February,6
109,2024-02-11,Product_A,Line_3,Afternoon,OP018,M004,BATCH018,125,2,Surface_Finish,1.6,Pass,1000,Sunday,February,6
110,2024-02-11,Product_A,Line_3,Morning,OP004,M007,BATCH019,223,10,Scratch,4.48,Pass,5000,Sunday,February,6
111,2024-02-11,Product_B,Line_3,Morning,OP015,M001,BATCH028,287,12,Scratch,4.18,Pass,6000,Sunday,February,6
112,2024-02-11,Product_D,Line_2,Morning,OP020,M003,BATCH040,129,2,Dent,1.55,Pass,1000,Sunday,February,6
113,2024-02-11,Product_B,Line_2,Afternoon,OP020,M006,BATCH043,228,2,Dimension_Error,0.88,Pass,1000,Sunday,February,6
114,2024-02-12,Product_A,Line_3,Afternoon,OP013,M002,BATCH012,135,6,Dimension_Error,4.44,Pass,3000,Monday,February,7
115,2024-02-12,Product_A,Line_1,Afternoon,OP006,M006,BATCH008,117,2,Scratch,1.71,Pass,1000,Monday,February,7
116,2024-02-13,Product_B,Line_1,Morning,OP016,M003,BATCH035,199,3,Surface_Finish,1.51,Pass,1500,Tuesday,February,7
